name,MARKA,KOLEKSIYON,price,price_category,CINSIYET,MEKANIZMA,KASA MATERYALI,case_material_category,KASA ÇAPI,SU REZISTANSI,water_resistance_category,brand_country,brand_age,collection_price_tier,url,image,page,scraped_at,AILE,GARANTI SÜRESI,GÜÇ REZERVI,KADRAN,KAYIŞ,PRODUCT_NAME_DETAIL,PRODUCT_PRICE_DETAIL,REFERANS,brand_founded_year,brand_avg_price,brand_median_price,brand_price_std,brand_product_count,price_vs_brand_avg,price_percentile,price_zscore,is_price_outlier,collection_popularity,water_resistance_standardized,price_category_improved,case_diameter_numeric,case_size_category,brand_prestige_level
Navitimer B01 Chronograph,Breitling,Navitimer,449800.0,Luxury,Kadın,Otomatik,Paslanmaz Çelik,Steel,41mm,30m,Splash Resistant,Switzerland,140.0,Luxury Collection,https://samiwatches.com/urun/navitimer-b01-chronograph-ab0139211b1p1/,https://samiwatches.com/wp-content/uploads/2025/08/AB0139211B1P1-1-400x533.jpg,4,2025-10-06T04:26:13.409073,,5 Yıl,70 Saat,Siyah,Krokodil,Navitimer B01 Chronograph,449.800₺,AB0139211B1P1,1884.0,344131.2,317200.0,114878.734,125.0,0.30705965,0.7745509,0.1805272,False,22.0,Günlük Kullanım (30m),Lüks,41.0,Büyük (40-44mm),Prestijli
Classic Fusion Black Magic,Hublot,Classic Fusion,442000.0,Luxury,"Erkek, Kadın",Otomatik,Seramik,Ceramic,38mm,50m,Water Resistant,Switzerland,44.0,Ultra-Luxury Collection,https://samiwatches.com/urun/classic-fusion-black-magic-565-cm-1470-rx/,https://samiwatches.com/wp-content/uploads/2025/08/565.CM_.1470.RX-1-400x533.jpg,4,2025-10-06T04:26:24.196403,,2 Yıl,48 Saat,Siyah,Kauçuk,Classic Fusion Black Magic,442.000₺,565.CM.1470.RX,1980.0,842739.1,681200.0,419912.2,92.0,-0.47551978,0.7676647,0.16641207,False,45.0,Yüzme (50m),Lüks,38.0,Orta (36-40mm),Çok Prestijli
Conquest,Longines,Performance,45000.0,Budget,Erkek,Pilli,Paslanmaz Çelik,Steel,41mm,300m,Diving,Switzerland,192.0,Premium Collection,https://samiwatches.com/urun/longines-conquest-l3-759-4-58-6/,https://samiwatches.com/wp-content/uploads/2025/02/L3.759.4.58.6-1-300x400.webp,4,2025-10-06T04:26:32.277924,Conquest,2 Yıl,,Siyah,Paslanmaz Çelik,Conquest,45.000₺,L3.759.4.58.6,1832.0,134676.78,131000.0,52081.965,267.0,-0.6658667,0.15838324,-0.5520115,False,57.0,Profesyonel Dalış (300m+),Ekonomik,41.0,Büyük (40-44mm),Orta Prestij
Seamaster Diver 300M,Omega,Seamaster,454000.0,Luxury,Erkek,Otomatik,Paslanmaz Çelik,Steel,42mm,300m,Diving,Switzerland,176.0,Ultra-Luxury Collection,https://samiwatches.com/urun/omega-seamaster-diver-300m-522-21-42-20-04-001/,https://samiwatches.com/wp-content/uploads/2024/02/522.21.42.20.04.001-1-scaled-300x400.webp,4,2025-10-06T04:26:42.496613,Diver 300M,5 Yıl,55 Saat,Beyaz,Paslanmaz Çelik,Seamaster Diver 300M,454.000₺,522.21.42.20.04.001,1848.0,513525.72,401600.0,458838.5,140.0,-0.115915745,0.7760479,0.18812764,False,59.0,Profesyonel Dalış (300m+),Lüks,42.0,Büyük (40-44mm),Çok Prestijli
Luminor Due Luna,Panerai,Luminor Due,469000.0,Luxury,Kadın,Otomatik,Paslanmaz Çelik,Steel,38mm,50m,Water Resistant,Italy,164.0,Ultra-Luxury Collection,https://samiwatches.com/urun/panerai-luminor-due-luna-pam01557/,https://samiwatches.com/wp-content/uploads/2025/01/PAM01557-1-300x400.webp,4,2025-10-06T04:26:52.519869,,8 Yıl,72 Saat,Beyaz,Krokodil,Luminor Due Luna,469.000₺,PAM01557,1860.0,649664.06,473800.0,466149.7,89.0,-0.27808842,0.7922156,0.21527211,False,17.0,Yüzme (50m),Lüks,38.0,Orta (36-40mm),Çok Prestijli
Seastar 1000,Tissot,T-Sport Collection,27590.0,Budget,Erkek,Pilli,Paslanmaz Çelik,Steel,38mm,300m,Diving,Switzerland,171.0,Entry Collection,https://samiwatches.com/urun/seastar-1000-t120-217-17-011-00/,https://samiwatches.com/wp-content/uploads/2025/08/T120.217.17.011.00-1-400x533.jpg,4,2025-10-06T04:27:03.013853,Seastar 1000,2 Yıl,,Gri,Kauçuk,Seastar 1000,27.590₺,T120.217.17.011.00,1853.0,30113.854,26090.0,13456.789,288.0,-0.0838104,0.093712576,-0.5835172,False,97.0,Profesyonel Dalış (300m+),Ekonomik,38.0,Orta (36-40mm),Giriş Seviyesi
Seamaster Aqua Terra,Omega,Seamaster,320100.0,Luxury,Erkek,Otomatik,Paslanmaz Çelik,Steel,41mm,150m,Swimming,Switzerland,176.0,Ultra-Luxury Collection,https://samiwatches.com/urun/omega-seamaster-aqua-terra-220-10-41-21-01-001/,https://samiwatches.com/wp-content/uploads/2023/06/220.10.41.21.01.001-1-1-scaled-300x400.webp,4,2025-10-06T04:27:13.713972,Aqua Terra,5 Yıl,60 Saat,Siyah,Paslanmaz Çelik,Seamaster Aqua Terra,320.100₺,220.10.41.21.01.001,1848.0,513525.72,401600.0,458838.5,140.0,-0.37666216,0.6769461,-0.05418197,False,59.0,Yüzme (50m),Premium,41.0,Büyük (40-44mm),Çok Prestijli
Lvcea,Bvlgari,Lvcea,495000.0,Luxury,Kadın,Otomatik,Paslanmaz Çelik,Steel,33mm,50m,Water Resistant,Italy,140.0,Luxury Collection,https://samiwatches.com/urun/lvcea-104106/,https://samiwatches.com/wp-content/uploads/2025/07/104106-1-400x533.jpg,4,2025-10-06T04:27:24.495324,,5 Yıl,42 Saat,Pembe,Paslanmaz Çelik,Lvcea,495.000₺,104106,1884.0,514079.38,416000.0,402732.22,63.0,-0.037113655,0.81407183,0.26232252,False,10.0,Yüzme (50m),Lüks,33.0,Küçük (<36mm),Çok Prestijli
M-Series Stone Blue,Sevenfriday,M-Series,119600.0,Mid-Range,Erkek,Otomatik,Paslanmaz Çelik,Steel,44.5x44mm,50m,Water Resistant,Unknown,,Premium Collection,https://samiwatches.com/urun/m-series-stone-blue-sf-me3-01/,https://samiwatches.com/wp-content/uploads/2025/07/SF-ME301-1-400x533.jpg,4,2025-10-06T04:27:34.775635,,2 Yıl,41 Saat,Mavi,Deri,M-Series Stone Blue,119.600₺,SF-ME3/01,,93480.95,87900.0,16714.975,42.0,0.27940503,0.33473054,-0.41701302,False,11.0,Yüzme (50m),Orta Segment,44.5,Çok Büyük (>44mm),Giriş Seviyesi
Streamliner Perpetual Calendar,H. Moser & Cie.,Streamliner,2.6988e+06,Ultra-Luxury,Erkek,Elle Kurmalı,Paslanmaz Çelik,Steel,42mm,120m,Swimming,Unknown,,Ultra-Luxury Collection,https://samiwatches.com/urun/streamliner-perpetual-calendar-6812-1201/,https://samiwatches.com/wp-content/uploads/2025/07/6812-1201-1-400x533.jpg,4,2025-10-06T04:27:45.335025,,2 Yıl,168 Saat,Kahverengi,Paslanmaz Çelik,Streamliner Perpetual Calendar,2.698.800₺,6812-1201,,2.2611332e+06,1.456e+06,1.553869e+06,24.0,0.19356075,0.9913174,4.2503877,True,10.0,Diğer,Ultra Lüks,42.0,Büyük (40-44mm),Ultra Prestijli
Serpenti Seduttori,Bvlgari,Serpenti,466000.0,Luxury,Kadın,Otomatik,Paslanmaz Çelik,Steel,34mm,30m,Splash Resistant,Italy,140.0,Ultra-Luxury Collection,https://samiwatches.com/urun/serpenti-seduttori-104062/,https://samiwatches.com/wp-content/uploads/2025/07/104062-1-400x533.jpg,4,2025-10-06T04:27:56.786194,,5 Yıl,50 Saat,Siyah,Paslanmaz Çelik,Serpenti Seduttori,466.000₺,104062,1884.0,514079.38,416000.0,402732.22,63.0,-0.09352518,0.78832334,0.20984322,False,11.0,Günlük Kullanım (30m),Lüks,34.0,Küçük (<36mm),Çok Prestijli
Conquest Heritage,Longines,Watchmaking Tradition,153000.0,Mid-Range,Erkek,Otomatik,Paslanmaz Çelik,Steel,38mm,50m,Water Resistant,Switzerland,192.0,Premium Collection,https://samiwatches.com/urun/longines-conquest-heritage-l1-649-4-02-2/,https://samiwatches.com/wp-content/uploads/2025/06/L1.649.4.02.2-1-400x533.jpg,4,2025-10-06T04:28:06.974890,Conquest Heritage,5 Yıl,72 Saat,Yeşil,Krokodil,Conquest Heritage,153.000₺,L1.649.4.02.2,1832.0,134676.78,131000.0,52081.965,267.0,0.13605331,0.43772456,-0.35657135,False,54.0,Yüzme (50m),Orta Segment,38.0,Orta (36-40mm),Orta Prestij
Seastar 1000,Tissot,T-Sport Collection,28790.0,Budget,Erkek,Pilli,Paslanmaz Çelik,Steel,38mm,300m,Diving,Switzerland,171.0,Entry Collection,https://samiwatches.com/urun/seastar-1000-t120-217-37-061-00/,https://samiwatches.com/wp-content/uploads/2025/08/T120.217.37.061.00-1-400x533.jpg,4,2025-10-06T04:28:17.671304,Seastar 1000,2 Yıl,,Gri,Kauçuk,Seastar 1000,28.790₺,T120.217.37.061.00,1853.0,30113.854,26090.0,13456.789,288.0,-0.043961633,0.096706584,-0.5813456,False,97.0,Profesyonel Dalış (300m+),Ekonomik,38.0,Orta (36-40mm),Giriş Seviyesi
Formula 1 Chronograph,Tag Heuer,Formula 1,213200.0,Mid-Range,Erkek,Otomatik,Paslanmaz Çelik,Steel,44mm,200m,Swimming,Unknown,,Premium Collection,https://samiwatches.com/urun/tag-heuer-formula-1-chronograph-caz201g-ba0876/,https://samiwatches.com/wp-content/uploads/2024/10/CAZ201G.BA0876-1-scaled-300x400.webp,4,2025-10-06T04:28:28.161213,,2 Yıl,42 Saat,Mavi,Paslanmaz Çelik,Formula 1 Chronograph,213.200₺,CAZ201G.BA0876,,219025.56,179400.0,138288.27,133.0,-0.026597643,0.5535928,-0.24763153,False,38.0,Dalış (200m),Premium,44.0,Büyük (40-44mm),Prestijli
Lovely Square,Tissot,T-Lady Collection,19790.0,Budget,Kadın,Pilli,Çelik Altın,Gold,20x20mm,30m,Splash Resistant,Switzerland,171.0,Entry Collection,https://samiwatches.com/urun/tissot-lovely-square-t058-109-33-031-00/,https://samiwatches.com/wp-content/uploads/2024/04/T058.109.33.031.00-1-scaled-300x400.webp,4,2025-10-06T04:28:38.350566,Lovely,2 Yıl,,Gümüş,Çelik Altın,Lovely Square,19.790₺,T058.109.33.031.00,1853.0,30113.854,26090.0,13456.789,288.0,-0.3428274,0.037125748,-0.5976323,False,23.0,Günlük Kullanım (30m),Ekonomik,20.0,Küçük (<36mm),Giriş Seviyesi
Luminor Quaranta BiTempo Luna Rossa,Panerai,Luminor,469000.0,Luxury,Erkek,Otomatik,Paslanmaz Çelik,Steel,40mm,100m,Water Resistant,Italy,164.0,Ultra-Luxury Collection,https://samiwatches.com/urun/panerai-luminor-quaranta-bitempo-luna-rossa-pam01404/,https://samiwatches.com/wp-content/uploads/2024/12/PAM01404-1-scaled-300x400.webp,4,2025-10-06T04:28:48.568588,,8 Yıl,72 Saat,Mavi,Kauçuk,Luminor Quaranta BiTempo Luna Rossa,469.000₺,PAM01404,1860.0,649664.06,473800.0,466149.7,89.0,-0.27808842,0.7922156,0.21527211,False,37.0,Snorkeling (100m),Lüks,40.0,Orta (36-40mm),Çok Prestijli
Lvcea,Bvlgari,Lvcea,293000.0,Mid-Range,Kadın,Pilli,Paslanmaz Çelik,Steel,28mm,50m,Water Resistant,Italy,140.0,Luxury Collection,https://samiwatches.com/urun/lvcea-104107/,https://samiwatches.com/wp-content/uploads/2025/07/104107-1-400x533.jpg,4,2025-10-06T04:28:58.822740,,5 Yıl,,Pembe,Paslanmaz Çelik,Lvcea,293.000₺,104107,1884.0,514079.38,416000.0,402732.22,63.0,-0.4300491,0.6494012,-0.10322297,False,10.0,Yüzme (50m),Premium,28.0,Küçük (<36mm),Çok Prestijli
Master Collection,Longines,Watchmaking Tradition,136000.0,Mid-Range,Erkek,Otomatik,Paslanmaz Çelik,Steel,42mm,30m,Splash Resistant,Switzerland,192.0,Premium Collection,https://samiwatches.com/urun/longines-master-collection-l2-920-4-92-6/,https://samiwatches.com/wp-content/uploads/2024/03/L2.920.4.92.6-1-scaled-300x400.webp,4,2025-10-06T04:29:09.092911,Master Collection,5 Yıl,72 Saat,Mavi,Paslanmaz Çelik,Master Collection,136.000₺,L2.920.4.92.6,1832.0,134676.78,131000.0,52081.965,267.0,0.009825161,0.398503,-0.38733506,False,54.0,Günlük Kullanım (30m),Orta Segment,42.0,Büyük (40-44mm),Orta Prestij
Riviera Diamond Set,Baume & Mercier,Riviera,93400.0,Budget,Kadın,Pilli,Paslanmaz Çelik,Steel,36mm,50m,Water Resistant,Switzerland,194.0,Premium Collection,https://samiwatches.com/urun/baume-mercier-riviera-diamond-set/,https://samiwatches.com/wp-content/uploads/2025/06/10724-1-400x533.jpg,4,2025-10-06T04:29:19.812611,,2 Yıl,,Siyah,Paslanmaz Çelik,Riviera Diamond Set,93.400₺,10724,1830.0,126401.04,120200.0,54582.965,96.0,-0.26108205,0.25508982,-0.46442536,False,45.0,Yüzme (50m),Orta Segment,36.0,Orta (36-40mm),Orta Prestij
P-Series,Sevenfriday,P-Series,87400.0,Budget,Erkek,Otomatik,Paslanmaz Çelik,Steel,44.5x44mm,50m,Water Resistant,Unknown,,Entry Collection,https://samiwatches.com/urun/p-series-sf-pe1-01/,https://samiwatches.com/wp-content/uploads/2025/07/SF-PE101-1-400x533.jpg,4,2025-10-06T04:29:30.606116,,2 Yıl,41 Saat,Siyah,Deri,P-Series,87.400₺,SF-PE1/01,,93480.95,87900.0,16714.975,42.0,-0.06505018,0.24550898,-0.47528315,False,23.0,Yüzme (50m),Ekonomik,44.5,Çok Büyük (>44mm),Giriş Seviyesi
PRX Powermatic 80 Gradient,Tissot,T-Classic Collection,37780.0,Budget,Erkek,Otomatik,Paslanmaz Çelik,Steel,40mm,100m,Water Resistant,Switzerland,171.0,Entry Collection,https://samiwatches.com/urun/tissot-prx-powermatic-80-gradient-t137-407-11-051-01/,https://samiwatches.com/wp-content/uploads/2024/09/T137.407.11.051.01-1-scaled-300x400.webp,4,2025-10-06T04:29:41.374173,PRX,2 Yıl,80 Saat,Çok Renkli,Paslanmaz Çelik,PRX Powermatic 80 Gradient,37.780₺,T137.407.11.051.01,1853.0,30113.854,26090.0,13456.789,288.0,0.25457206,0.12604791,-0.56507707,False,160.0,Snorkeling (100m),Ekonomik,40.0,Orta (36-40mm),Giriş Seviyesi
Bvlgari Bvlgari,Bvlgari,Bvlgari Bvlgari,495000.0,Luxury,Kadın,Pilli,Çelik Altın,Gold,33mm,30m,Splash Resistant,Italy,140.0,Luxury Collection,https://samiwatches.com/urun/bvlgari-bvlgari-104278/,https://samiwatches.com/wp-content/uploads/2025/06/104278-1-400x533.jpg,4,2025-10-06T04:29:51.879394,,5 Yıl,,Sedef,Çelik Altın,Bvlgari Bvlgari,495.000₺,104278,1884.0,514079.38,416000.0,402732.22,63.0,-0.037113655,0.81407183,0.26232252,False,14.0,Günlük Kullanım (30m),Lüks,33.0,Küçük (<36mm),Çok Prestijli
Top Time B01 Gino Bartali,Breitling,Top Time,382200.0,Luxury,Erkek,Otomatik,Paslanmaz Çelik,Steel,41mm,100m,Water Resistant,Switzerland,140.0,Luxury Collection,https://samiwatches.com/urun/breitling-top-time-b01-gino-bartali-ab01767a1c1a1/,https://samiwatches.com/wp-content/uploads/2025/06/AB01767A1C1A1-1-400x533.jpg,4,2025-10-06T04:30:03.145320,,5 Yıl,70 Saat,Mavi,Paslanmaz Çelik,Top Time B01 Gino Bartali,382.200₺,AB01767A1C1A1,1884.0,344131.2,317200.0,114878.734,125.0,0.11062293,0.73173654,0.058196124,False,10.0,Snorkeling (100m),Premium,41.0,Büyük (40-44mm),Prestijli
Octo Roma,Bvlgari,Octo,449000.0,Luxury,Erkek,Otomatik,Paslanmaz Çelik,Steel,41mm,100m,Water Resistant,Italy,140.0,Ultra-Luxury Collection,https://samiwatches.com/urun/octo-roma-103762/,https://samiwatches.com/wp-content/uploads/2025/07/103762-1-400x533.jpg,4,2025-10-06T04:30:13.731400,,5 Yıl,42 Saat,Mavi,Paslanmaz Çelik,Octo Roma,449.000₺,103762,1884.0,514079.38,416000.0,402732.22,63.0,-0.126594,0.7724551,0.17907949,False,16.0,Snorkeling (100m),Lüks,41.0,Büyük (40-44mm),Çok Prestijli
Seamaster Railmaster,Omega,Seamaster,261900.0,Mid-Range,Erkek,Otomatik,Paslanmaz Çelik,Steel,38mm,150m,Swimming,Switzerland,176.0,Ultra-Luxury Collection,https://samiwatches.com/urun/omega-seamaster-railmaster-235-12-38-20-06-001/,https://samiwatches.com/wp-content/uploads/2025/06/235.12.38.20.06.001-1-400x533.jpg,4,2025-10-06T04:30:24.193621,Railmaster,5 Yıl,55 Saat,Gri,Deri,Seamaster Railmaster,261.900₺,235.12.38.20.06.001,1848.0,513525.72,401600.0,458838.5,140.0,-0.4899963,0.61706585,-0.1595025,False,59.0,Yüzme (50m),Premium,38.0,Orta (36-40mm),Çok Prestijli
Seastar 1000,Tissot,T-Sport Collection,31480.0,Budget,Erkek,Pilli,Paslanmaz Çelik,Steel,38mm,300m,Diving,Switzerland,171.0,Entry Collection,https://samiwatches.com/urun/seastar-1000-t120-217-33-061-00/,https://samiwatches.com/wp-content/uploads/2025/08/T120.217.33.061.00-1-400x533.jpg,4,2025-10-06T04:30:33.003493,Seastar 1000,2 Yıl,,Gri,Paslanmaz Çelik,Seastar 1000,31.480₺,T120.217.33.061.00,1853.0,30113.854,26090.0,13456.789,288.0,0.045366023,0.10988024,-0.5764777,False,97.0,Profesyonel Dalış (300m+),Ekonomik,38.0,Orta (36-40mm),Giriş Seviyesi
Superocean Heritage B01 Chronograph,Breitling,Superocean Heritage,444600.0,Luxury,Erkek,Otomatik,Paslanmaz Çelik,Steel,42mm,200m,Swimming,Switzerland,140.0,Luxury Collection,https://samiwatches.com/urun/breitling-superocean-heritage-b01-chronograph-ab0156161c1a1/,https://samiwatches.com/wp-content/uploads/2025/06/AB0156161C1A1-1-400x533.jpg,4,2025-10-06T04:30:43.596622,,5 Yıl,70 Saat,Mavi,Paslanmaz Çelik,Superocean Heritage B01 Chronograph,444.600₺,AB0156161C1A1,1884.0,344131.2,317200.0,114878.734,125.0,0.29194912,0.76886225,0.17111711,False,29.0,Dalış (200m),Lüks,42.0,Büyük (40-44mm),Prestijli
Le Locle,Tissot,T-Classic Collection,35980.0,Budget,Erkek,Otomatik,Çelik Altın,Gold,39.3mm,30m,Splash Resistant,Switzerland,171.0,Entry Collection,https://samiwatches.com/urun/le-locle-t006-407-36-033-00/,https://samiwatches.com/wp-content/uploads/2025/08/T006.407.36.033.00-1-400x533.jpg,4,2025-10-06T04:30:54.037494,Le Locle,2 Yıl,80 Saat,Gümüş,Krokodil,Le Locle,35.980₺,T006.407.36.033.00,1853.0,30113.854,26090.0,13456.789,288.0,0.1947989,0.11886228,-0.5683344,False,160.0,Günlük Kullanım (30m),Ekonomik,39.3,Orta (36-40mm),Giriş Seviyesi
Conquest,Longines,Performance,103000.0,Mid-Range,Erkek,Otomatik,Paslanmaz Çelik,Steel,38mm,100m,Water Resistant,Switzerland,192.0,Premium Collection,https://samiwatches.com/urun/longines-conquest-l3-720-4-52-9/,https://samiwatches.com/wp-content/uploads/2025/06/L3.720.4.52.9-1-400x533.jpg,4,2025-10-06T04:31:04.442914,Conquest,5 Yıl,72 Saat,Siyah,Kauçuk,Conquest,103.000₺,L3.720.4.52.9,1832.0,134676.78,131000.0,52081.965,267.0,-0.23520595,0.28143713,-0.4470529,False,57.0,Snorkeling (100m),Orta Segment,38.0,Orta (36-40mm),Orta Prestij
Legend Diver,Longines,Diving,178000.0,Mid-Range,Erkek,Otomatik,Paslanmaz Çelik,Steel,39mm,300m,Diving,Switzerland,192.0,Premium Collection,https://samiwatches.com/urun/longines-legend-diver-l3-764-4-16-6/,https://samiwatches.com/wp-content/uploads/2025/06/L3.764.4.16.6-1-400x533.jpg,4,2025-10-06T04:31:14.964223,Legend Diver,5 Yıl,72 Saat,Beyaz,Paslanmaz Çelik,Legend Diver,178.000₺,L3.764.4.16.6,1832.0,134676.78,131000.0,52081.965,267.0,0.32168293,0.50898206,-0.31133056,False,49.0,Profesyonel Dalış (300m+),Premium,39.0,Orta (36-40mm),Orta Prestij
Octo Roma,Bvlgari,Octo,449000.0,Luxury,Erkek,Otomatik,Çelik Altın,Gold,41mm,100m,Water Resistant,Italy,140.0,Ultra-Luxury Collection,https://samiwatches.com/urun/bvlgari-octo-roma-103926/,https://samiwatches.com/wp-content/uploads/2025/06/103936-1-400x533.jpg,4,2025-10-06T04:31:25.531590,,5 Yıl,42 Saat,Mavi,"Kauçuk, Paslanmaz Çelik",Octo Roma,449.000₺,103926,1884.0,514079.38,416000.0,402732.22,63.0,-0.126594,0.7724551,0.17907949,False,16.0,Snorkeling (100m),Lüks,41.0,Büyük (40-44mm),Çok Prestijli
Legend Diver,Longines,Diving,161000.0,Mid-Range,Erkek,Otomatik,Paslanmaz Çelik,Steel,39mm,300m,Diving,Switzerland,192.0,Premium Collection,https://samiwatches.com/urun/longines-legend-diver-l3-764-4-50-9/,https://samiwatches.com/wp-content/uploads/2025/06/L3.764.4.50.9-1-400x533.jpg,4,2025-10-06T04:31:36.281671,Legend Diver,5 Yıl,72 Saat,Siyah,Kauçuk,Legend Diver,161.000₺,L3.764.4.50.9,1832.0,134676.78,131000.0,52081.965,267.0,0.19545479,0.46437126,-0.3420943,False,49.0,Profesyonel Dalış (300m+),Orta Segment,39.0,Orta (36-40mm),Orta Prestij
Superocean Heritage B31,Breitling,Superocean Heritage,301600.0,Luxury,Erkek,Otomatik,Paslanmaz Çelik,Steel,42mm,200m,Swimming,Switzerland,140.0,Luxury Collection,https://samiwatches.com/urun/superocean-heritage-b31-ab3111161c1s1/,https://samiwatches.com/wp-content/uploads/2025/08/AB3111161C1S1-1-400x533.jpg,4,2025-10-06T04:31:47.028880,,5 Yıl,78 Saat,Mavi,Kauçuk,Superocean Heritage B31,301.600₺,AB3111161C1S1,1884.0,344131.2,317200.0,114878.734,125.0,-0.123590074,0.657485,-0.08766015,False,29.0,Dalış (200m),Premium,42.0,Büyük (40-44mm),Prestijli
Breitling Top Time B01 Racing,Breitling,Top Time,361400.0,Luxury,Erkek,Otomatik,Paslanmaz Çelik,Steel,38mm,100m,Water Resistant,Switzerland,140.0,Luxury Collection,https://samiwatches.com/urun/top-time-b01-racing-ab01771a1l1x1/,https://samiwatches.com/wp-content/uploads/2025/08/AB01771A1L1X1-1-400x533.jpg,4,2025-10-06T04:31:55.706421,,5 Yıl,70 Saat,Yeşil,Deri,Breitling Top Time B01 Racing,361.400₺,AB01771A1L1X1,1884.0,344131.2,317200.0,114878.734,125.0,0.05018086,0.71766466,0.020555796,False,10.0,Snorkeling (100m),Premium,38.0,Orta (36-40mm),Prestijli
Classic Fusion Titanium,Hublot,Classic Fusion,374400.0,Luxury,Erkek,Otomatik,Titanyum,Titanium,42mm,50m,Water Resistant,Switzerland,44.0,Ultra-Luxury Collection,https://samiwatches.com/urun/hublot-classic-fusion-titanium-542-nx-1171-rx/,https://samiwatches.com/wp-content/uploads/2024/04/542.NX_.1171.RX-1-scaled-300x400.webp,4,2025-10-06T04:32:06.353707,,2 Yıl,48 Saat,Siyah,Kauçuk,Classic Fusion Titanium,374.400₺,542.NX.1171.RX,1980.0,842739.1,681200.0,419912.2,92.0,-0.5557344,0.7245509,0.044081,False,45.0,Yüzme (50m),Premium,42.0,Büyük (40-44mm),Çok Prestijli
HydroConquest,Longines,Diving,75000.0,Budget,Erkek,Otomatik,Paslanmaz Çelik,Steel,41mm,300m,Diving,Switzerland,192.0,Premium Collection,https://samiwatches.com/urun/longines-hydroconquest-l3-742-4-96-6/,https://samiwatches.com/wp-content/uploads/2023/11/L3.742.4.96.6-1-scaled-300x400.webp,4,2025-10-06T04:32:17.092472,HydroConquest,5 Yıl,72 Saat,Mavi,Paslanmaz Çelik,HydroConquest,75.000₺,L3.742.4.96.6,1832.0,134676.78,131000.0,52081.965,267.0,-0.44311112,0.20808384,-0.49772257,False,49.0,Profesyonel Dalış (300m+),Ekonomik,41.0,Büyük (40-44mm),Orta Prestij
Speedmaster Moonwatch,Omega,Speedmaster,355000.0,Luxury,Erkek,Elle Kurmalı,Paslanmaz Çelik,Steel,42mm,50m,Water Resistant,Switzerland,176.0,Ultra-Luxury Collection,https://samiwatches.com/urun/omega-speedmaster-moonwatch-310-30-42-50-01-001/,https://samiwatches.com/wp-content/uploads/2023/06/310.30.42.50.01.001-1-1-scaled-300x400.webp,4,2025-10-06T04:32:27.625045,Moonwatch,5 Yıl,50 Saat,Siyah,Paslanmaz Çelik,Speedmaster Moonwatch,355.000₺,310.30.42.50.01.001,1848.0,513525.72,401600.0,458838.5,140.0,-0.30870062,0.71107787,0.008974156,False,25.0,Yüzme (50m),Premium,42.0,Büyük (40-44mm),Çok Prestijli
Ballade,Tissot,T-Classic Collection,17990.0,Budget,Erkek,Pilli,Paslanmaz Çelik,Steel,40mm,100m,Water Resistant,Switzerland,171.0,Entry Collection,https://samiwatches.com/urun/tissot-ballade-t156-410-11-091-00/,https://samiwatches.com/wp-content/uploads/2024/12/T156.410.11.091.00-1-scaled-300x400.webp,4,2025-10-06T04:32:38.548575,Ballade,2 Yıl,,Yeşil,Paslanmaz Çelik,Ballade,17.990₺,T156.410.11.091.00,1853.0,30113.854,26090.0,13456.789,288.0,-0.40260056,0.024251496,-0.6008896,False,160.0,Snorkeling (100m),Ekonomik,40.0,Orta (36-40mm),Giriş Seviyesi
HyperChrome,Rado,HyperChrome,75100.0,Budget,Erkek,Pilli,Paslanmaz Çelik,Steel,41.5mm,150m,Swimming,Unknown,,Entry Collection,https://samiwatches.com/urun/hyperchrome-r32280203/,https://samiwatches.com/wp-content/uploads/2025/07/R32280203-1-400x533.jpg,4,2025-10-06T04:32:49.005599,,5 Yıl,,Mavi,Paslanmaz Çelik,HyperChrome,75.100₺,R32280203,,133908.42,126200.0,57445.586,95.0,-0.43916896,0.21167664,-0.4975416,False,9.0,Yüzme (50m),Ekonomik,41.5,Büyük (40-44mm),Orta Prestij
PRX,Tissot,T-Classic Collection,21290.0,Budget,Kadın,Pilli,Paslanmaz Çelik,Steel,25mm,100m,Water Resistant,Switzerland,171.0,Entry Collection,https://samiwatches.com/urun/tissot-prx-t137-010-11-056-00/,https://samiwatches.com/wp-content/uploads/2024/11/T137.010.11.056.00-1-scaled-300x400.webp,4,2025-10-06T04:32:59.784634,PRX,2 Yıl,,Siyah,Paslanmaz Çelik,PRX,21.290₺,T137.010.11.056.00,1853.0,30113.854,26090.0,13456.789,288.0,-0.29301643,0.05269461,-0.59491783,False,160.0,Snorkeling (100m),Ekonomik,25.0,Küçük (<36mm),Giriş Seviyesi
P-Series,Sevenfriday,P-Series,92600.0,Budget,Erkek,Otomatik,Paslanmaz Çelik,Steel,44.5x44mm,50m,Water Resistant,Unknown,,Entry Collection,https://samiwatches.com/urun/p-series-sf-pe1-01m/,https://samiwatches.com/wp-content/uploads/2025/07/SF-PE101M-1-400x533.jpg,4,2025-10-06T04:33:10.236282,,2 Yıl,41 Saat,Siyah,Paslanmaz Çelik,P-Series,92.600₺,SF-PE1/01M,,93480.95,87900.0,16714.975,42.0,-0.009423871,0.25359282,-0.46587306,False,23.0,Yüzme (50m),Orta Segment,44.5,Çok Büyük (>44mm),Giriş Seviyesi
